participant_id,num_chan_ica,num_chan_artefact
sub-AN01LE,113,111
sub-AN03NU,105,104
sub-AN14NE,112,110
sub-AN20SC,125,121
sub-AN24KI,95,93
sub-BA07AN,118,116
sub-BA11SC,88,81
sub-BE27KA,122,120
sub-BI19KI,120,115
sub-BI20LE,116,114
sub-CA26NM,113,109
sub-CH03KA,100,98
sub-CH06BA,120,117
sub-CH08GE,116,114
sub-CH23WU,123,121
sub-CS27ES,105,97
sub-DI25KL,114,112
sub-DO06CL,121,120
sub-DO09RE,109,108
sub-DO25BA,121,119
sub-DO29CU,119,117
sub-EL06HE,107,106
sub-EL16KI,115,113
sub-EL17OS,114,112
sub-EL21NE,77,74
sub-EL27KA,105,103
sub-EM05EL,98,96
sub-FR16GE,100,99
sub-GA07NE,119,115
sub-GA12KO,92,90
sub-GE05TI,95,94
sub-GE23IZ,117,115
sub-GI30KI,109,107
sub-HA04HA,115,108
sub-HE01HA,104,102
sub-HE22FO,118,114
sub-HE25KI,122,117
sub-HE28OS,118,116
sub-HI06DU,116,114
sub-HI22NE,112,108
sub-HI26ME,95,93
sub-IL11GR,114,112
sub-IM31KI,115,113
sub-IN18DR,121,119
sub-IN23HE,119,117
sub-IR16MO,75,73
sub-IS17KI,93,91
sub-JA04NE,112,110
sub-KA01EC,119,117
sub-KA05KI,124,121
sub-KA08LU,119,117
sub-KA14HH,117,115
sub-KA27KI,109,107
sub-KA30FL,123,121
sub-KO04PA,97,95
sub-KR04BE,101,100
sub-LO12EC,114,112
sub-LU22FR,122,120
sub-MA11FL,111,109
sub-MA26WO,116,113
sub-MA30HA,121,119
sub-MO09MU,101,99
sub-MO09NE,117,114
sub-MO18NE,114,112
sub-RE03IT,110,108
sub-RE17PR,118,116
sub-RE22KI,109,104
sub-RE28PU,95,93
sub-SE04SJ,106,104
sub-SI05PR,78,77
sub-SI23BA,111,109
sub-SU17HU,98,96
sub-SY22KI,120,118
sub-UR16RE,106,104
sub-UR24BI,113,111
sub-UT16FL,104,103
sub-VE18OL,112,110
sub-WI17PE,110,108
sub-YV23KA,117,114
