participant_id,num_chan_ica,num_chan_artefact
sub-AN01LE,113,110
sub-AN03NU,105,104
sub-AN14NE,112,107
sub-AN20SC,125,117
sub-AN24KI,95,93
sub-BA07AN,118,116
sub-BA11SC,88,81
sub-BE27KA,122,120
sub-BI19KI,120,112
sub-BI20LE,116,109
sub-CA26NM,113,107
sub-CH03KA,100,98
sub-CH06BA,120,113
sub-CH08GE,116,110
sub-CH23WU,123,121
sub-CS27ES,105,96
sub-DI25KL,114,112
sub-DO06CL,121,114
sub-DO09RE,109,108
sub-DO25BA,121,117
sub-DO29CU,119,115
sub-EL06HE,107,106
sub-EL16KI,115,113
sub-EL17OS,114,112
sub-EL21NE,77,73
sub-EL27KA,105,99
sub-EM05EL,98,96
sub-FR16GE,100,99
sub-GA07NE,119,112
sub-GA12KO,92,86
sub-GE05TI,95,94
sub-GE23IZ,117,108
sub-GI30KI,109,107
sub-HA04HA,115,107
sub-HE01HA,104,102
sub-HE22FO,118,111
sub-HE25KI,122,112
sub-HE28OS,118,116
sub-HI06DU,116,114
sub-HI22NE,112,106
